식품명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
계란,143,12.4,9.5,0.7
고구마,128,1.4,0.2,30.3
그릭요거트,95,9.0,4.5,4.0
닭가슴살,108,22.9,0.9,0.0
두부,84,9.3,4.6,3.1
바나나,77,1.1,0.2,19.3
방울토마토,16,0.9,0.1,3.8
아몬드,580,21.2,49.4,21.6
연어회,161,19.8,8.4,0.0
잡곡밥,155,4.1,0.9,32.2
현미밥,150,3.7,1.1,31.0
갈비구이,250,25,17,1
갈치구이,184,18.5,11.2,0.1
고등어구이,252,22.4,17.1,0.1
곱창구이,266,13.2,22.8,3.1
닭갈비,160,15.2,8.5,4.8
더덕구이,115,2.1,3.2,19.2
떡갈비,240,16.8,14.5,9.2
불고기,185,17.4,10.2,5.1
삼겹살,385,16.2,34.5,0.3
장어구이,230,19.8,15.5,1.2
조개구이,90,13.5,1.1,5.2
조기구이,145,18.2,7.5,0.1
황태구이,165,24.5,4.1,6.8
훈제오리,310,16.5,26.5,0.8
계란국,35,3.2,1.8,1.4
떡국_만두국,125,4.8,3.1,19.2
무국,30,1.5,0.8,4.1
미역국,40,2.1,2.2,2.8
북엇국,45,4.2,1.1,3.8
시래기국,35,1.8,1.2,4.2
육개장,75,6.2,4.1,3.2
콩나물국,20,1.6,0.5,2.4
과메기,295,22.1,22.4,0.1
양념치킨,290,16.5,14.8,21.5
젓갈,95,9.2,1.1,11.5
콩자반,165,14.2,5.2,16.5
편육,230,21.5,15.2,0.2
피자,265,11.2,9.8,32.5
후라이드치킨,280,19.5,16.8,12.2
갓김치,35,2.1,0.4,5.4
깍두기,30,1.2,0.1,6.2
나박김치,10,0.6,0.1,1.8
무생채,32,1.1,0.2,6.5
배추김치,25,1.4,0.2,4.2
백김치,15,0.8,0.1,2.8
부추김치,40,2.2,0.5,6.8
열무김치,28,1.5,0.2,4.8
오이소박이,30,1.3,0.2,5.6
총각김치,33,1.4,0.2,6.2
파김치,50,2.3,0.6,8.5
가지요리,55,1.2,3.1,6.2
고사리나물,50,2.1,2.8,4.5
미역줄기볶음,65,1.4,4.2,5.5
숙주나물,35,1.8,2.1,2.5
시금치나물,45,2.2,2.5,3.8
애호박요리,50,1.3,3.2,4.5
경단,245,4.1,1.5,53.2
꿀떡,260,3.8,1.2,58.5
송편,220,4.2,1.1,48.2
만두,210,8.5,8.2,24.5
라면,130,2.6,4.5,19.5
막국수,140,4.1,1.5,27.5
물냉면,75,2.5,0.5,15.2
비빔냉면,145,3.8,2.1,27.8
수제비,110,3.2,1.2,21.5
열무국수,95,2.8,0.8,19.2
잔치국수,90,3.1,0.6,18.2
짜장면,145,4.5,5.2,20.2
짬뽕,80,4.2,2.8,9.5
쫄면,160,3.9,1.5,32.5
칼국수,105,3.5,1.1,20.5
콩국수,120,5.8,3.5,16.2
고추요리,60,1.5,2.5,8.2
도라지요리,65,1.4,2.1,10.5
도토리묵,45,0.4,0.1,10.8
잡채,140,2.8,5.2,20.5
콩나물요리,45,2.1,2.4,4.1
홍어요리,110,18.5,2.5,1.5
회요리,120,19.5,4.2,0.2
김밥,150,4.2,3.5,25.5
김치볶음밥,165,4.5,4.8,26.2
밥,130,2.7,0.3,30
비빔밥,130,4.5,3.5,20.2
새우볶음밥,170,5.2,5.1,25.8
알밥,160,5.5,4.2,24.8
유부초밥,190,6.5,5.8,28.2
주먹밥,165,3.8,2.8,31.2
감자채볶음,95,1.6,4.5,12.2
건새우볶음,210,18.2,7.5,17.2
고추장진미채볶음,280,16.5,4.2,44.2
두부요리,90,7.5,4.8,4.2
떡볶이,175,3.8,1.2,37.2
라볶이,195,4.5,4.2,34.8
멸치볶음,220,17.2,8.5,18.8
소세지볶음,220,11.5,16.2,7.2
어묵볶음,160,9.5,6.8,15.2
제육볶음,210,16.5,13.2,6.5
주꾸미볶음,115,13.2,3.8,7.2
보쌈,275,19.5,21.2,0.5
수정과,65,0.2,0.1,16.0
식혜,80,0.3,0.1,19.5
간장게장,85,11.2,1.2,7.5
양념게장,105,10.5,1.5,12.2
깻잎장아찌,65,2.8,0.8,11.5
감자전,140,2.1,5.5,20.5
계란말이,165,11.2,12.5,1.8
계란후라이,200,13.5,15.2,1.2
김치전,170,3.5,7.8,21.5
동그랑땡,210,12.8,13.5,9.5
생선전,180,14.5,10.8,6.2
파전,185,4.1,9.2,21.5
호박전,120,2.1,6.5,13.2
전골,90,7.2,4.5,5.2
갈치조림,135,13.2,6.8,5.2
감자조림,45,1,1.5,8
고등어조림,180,17.2,10.5,4.2
꽁치조림,170,16.2,10.2,3.5
두부조림,110,8.5,5.8,6.2
땅콩조림,310,12.5,18.2,24.5
메추리알장조림,140,11.2,8.5,4.8
연근조림,90,1.6,1.1,18.5
우엉조림,85,1.8,1.2,16.8
장조림,150,22.5,5.2,3.1
코다리조림,120,16.8,2.1,8.5
죽,65,1.5,0.5,13.5
호박죽,80,1.1,0.6,17.5
김치찌개,65,4.8,3.8,2.8
닭계장,85,9.2,4.1,2.8
동태찌개,60,7.5,2.1,2.7
된장찌개,70,4.5,3.2,5.8
순두부찌개,68,5.5,4.1,2.3
갈비찜,210,18.5,13.2,4.2
계란찜,80,6.8,5.2,1.5
김치찜,90,7.2,4.8,4.5
꼬막찜,95,14.2,1.2,6.5
닭볶음탕,130,13.5,6.8,3.8
수육,240,21.2,16.8,0.2
순대,160,5.2,4.8,24.2
족발,260,23.5,17.8,0.5
찜닭,125,14.2,5.5,4.8
해물찜,95,11.5,2.5,6.5
갈비탕,95,10.2,5.5,1.1
감자탕,110,11.5,6.2,2.1
곰탕_설렁탕,75,8.2,4.5,0.2
매운탕,65,8.8,2.4,2.1
삼계탕,115,12.5,6.5,1.5
가래떡,210,4.0,1.08,46.11
가래떡,195,3.92,0.51,43.73
가래떡_흑미,205,3.5,0.0,47.8
가오리찜,29,2.7,0.84,3.52
가오리찜,102,21.99,1.39,0.46
가오리콩나물찜,29,2.68,0.84,3.5
가오리회무침,47,4.7,0.47,6.47
