nutrient_code,nutrient_name,sex,age_min,age_max,rda,upper_limit,unit
VIT_D,비타민D,공통,19,49,10,100,µg
VIT_D,비타민D,공통,50,64,10,100,µg
VIT_D,비타민D,공통,65,120,15,100,µg
CALCIUM,칼슘,남,19,49,800,2500,mg
CALCIUM,칼슘,남,50,120,750,2000,mg
CALCIUM,칼슘,여,19,49,700,2500,mg
CALCIUM,칼슘,여,50,120,800,2000,mg
IRON,철분,남,19,120,10,45,mg
IRON,철분,여,19,49,14,45,mg
IRON,철분,여,50,120,8,45,mg
ZINC,아연,남,19,120,10,35,mg
ZINC,아연,여,19,120,8,35,mg
MAGNESIUM,마그네슘,남,19,120,350,350,mg
MAGNESIUM,마그네슘,여,19,120,280,350,mg
VIT_C,비타민C,공통,19,120,100,2000,mg
VIT_B,비타민B군,공통,19,120,14,,mg
OMEGA3,오메가3,공통,19,120,1000,,mg
FOLATE,엽산,공통,19,120,400,1000,µg
PROTEIN,단백질,남,19,120,65,,g
PROTEIN,단백질,여,19,120,55,,g
PROBIOTICS,유산균,공통,19,120,100,,억CFU
LUTEIN,루테인,공통,19,120,15,20,mg
COLLAGEN,콜라겐,공통,19,120,1000,,mg
BIOTIN,비오틴,공통,19,120,100,,µg
PANTOTHENIC,판토텐산,공통,19,120,5,,mg
MSM,식이유황MSM,공통,19,120,1500,,mg
GLUCOSAMINE,글루코사민,공통,19,120,1500,,mg
MILK_THISTLE,밀크씨슬,공통,19,120,130,,mg
COQ10,코엔자임Q10,공통,19,120,90,,mg
