id,name,brand,category,form,timing,serving_desc,image_url,price,buy_url,rating
1,비타민D3 1000IU,솔가,비타민,캡슐,식후,1일 1캡슐,,15900,,4.7
2,비타민D3 2000IU,나우푸드,비타민,캡슐,식후,1일 1캡슐,,16500,,4.6
3,비타민D3 5000IU,닥터스베스트,비타민,캡슐,식후,1일 1캡슐,,18900,,4.7
4,비타민D3 츄어블,캘리포니아골드뉴트리션,비타민,정제,식후,1일 1정,,12900,,4.5
5,울트라 오메가3,나우푸드,오메가,캡슐,식후,1일 1캡슐,,28900,,4.6
6,알티지 오메가3,종근당건강,오메가,캡슐,식후,1일 1~2캡슐,,32000,,4.5
7,알지 오메가 식물성,노르딕내추럴스,오메가,캡슐,식후,1일 1캡슐,,38900,,4.7
8,슈퍼 오메가3 플러스,라이프익스텐션,오메가,캡슐,식후,1일 1캡슐,,34900,,4.6
9,칼슘 마그네슘 비타민D,솔가,미네랄,정제,식후,1일 2정,,22900,,4.6
10,해조칼슘,GNM자연의품격,미네랄,정제,식후,1일 2정,,19900,,4.4
11,칼슘 마그네슘 아연,나우푸드,미네랄,정제,취침전,1일 2정,,21900,,4.6
12,고흡수 마그네슘,닥터스베스트,미네랄,정제,취침전,1일 1정,,17900,,4.7
13,마그네슘 글리시네이트,캘리포니아골드뉴트리션,미네랄,캡슐,취침전,1일 1캡슐,,18900,,4.6
14,마그네슘 비타민B6,GNM자연의품격,미네랄,정제,취침전,1일 1정,,15900,,4.4
15,젠틀 아이언,솔가,미네랄,캡슐,아침공복,1일 1캡슐,,18900,,4.7
16,헴철 철분,종근당건강,미네랄,캡슐,아침공복,1일 1캡슐,,22000,,4.5
17,아이언 콤플렉스,나우푸드,미네랄,캡슐,아침공복,1일 1캡슐,,16900,,4.5
18,아연 피콜리네이트,솔가,미네랄,정제,식후,1일 1정,,13900,,4.6
19,아연,나우푸드,미네랄,정제,식후,1일 1정,,11900,,4.5
20,아연 비타민C 면역,닥터스베스트,미네랄,정제,식후,1일 1정,,15900,,4.5
21,비타민C 1000,고려은단,비타민,정제,식후,1일 1정,,17900,,4.6
22,골드 비타민C,캘리포니아골드뉴트리션,비타민,정제,식후,1일 1정,,19900,,4.7
23,비타민C 아연 츄어블,뉴트리원,비타민,정제,식후,1일 1정,,14900,,4.3
24,비타민B-50 컴플렉스,나우푸드,비타민,정제,아침식후,1일 1정,,16900,,4.6
25,메가소브 비타민B,솔가,비타민,정제,아침식후,1일 1정,,23900,,4.7
26,액티브 비타민B,종근당건강,비타민,정제,아침식후,1일 1정,,18000,,4.4
27,센트룸 맨,센트룸,복합,정제,아침식후,1일 1정,,27900,,4.5
28,센트룸 우먼,센트룸,복합,정제,아침식후,1일 1정,,27900,,4.5
29,얼라이브 실버,얼라이브,복합,정제,아침식후,1일 1정,,29900,,4.6
30,멀티비타민 미네랄,GNM자연의품격,복합,정제,아침식후,1일 1정,,21900,,4.4
31,칼슘 마그네슘 아연 미네랄,나우푸드,미네랄,정제,취침전,1일 2정,,20900,,4.6
32,락토핏 골드,종근당건강,유산균,캡슐,아침공복,1일 1캡슐,,19900,,4.5
33,듀오락 골드,듀오락,유산균,캡슐,아침공복,1일 1캡슐,,29900,,4.6
34,여성 유산균,GNM자연의품격,유산균,캡슐,아침공복,1일 1캡슐,,24900,,4.4
35,신바이오틱스,캘리포니아골드뉴트리션,유산균,캡슐,아침공복,1일 1캡슐,,26900,,4.7
36,프로바이오틱-10,나우푸드,유산균,캡슐,아침공복,1일 1캡슐,,23900,,4.6
37,마이비 키즈 유산균,일동제약,유산균,분말,아침공복,1일 1포,,21900,,4.5
38,루테인,닥터스베스트,비타민,캡슐,식후,1일 1캡슐,,17900,,4.6
39,루테인 지아잔틴,캘리포니아골드뉴트리션,비타민,캡슐,식후,1일 1캡슐,,19900,,4.7
