id,supplement_id,nutrient_code,amount,unit
1,1,VIT_D,25,µg
2,2,VIT_D,50,µg
3,3,VIT_D,125,µg
4,4,VIT_D,25,µg
5,5,OMEGA3,1000,mg
6,6,OMEGA3,1200,mg
7,7,OMEGA3,900,mg
8,8,OMEGA3,1000,mg
9,8,VIT_D,25,µg
10,9,CALCIUM,300,mg
11,9,MAGNESIUM,150,mg
12,9,VIT_D,10,µg
13,10,CALCIUM,500,mg
14,11,CALCIUM,250,mg
15,11,MAGNESIUM,150,mg
16,11,ZINC,8,mg
17,12,MAGNESIUM,350,mg
18,13,MAGNESIUM,200,mg
19,14,MAGNESIUM,200,mg
20,14,VIT_B,10,mg
21,15,IRON,14,mg
22,16,IRON,12,mg
23,17,IRON,14,mg
24,17,VIT_C,100,mg
25,18,ZINC,15,mg
26,19,ZINC,12,mg
27,20,ZINC,15,mg
28,20,VIT_C,500,mg
29,21,VIT_C,1000,mg
30,22,VIT_C,1500,mg
31,23,VIT_C,1000,mg
32,23,ZINC,10,mg
33,24,VIT_B,12,mg
34,25,VIT_B,20,mg
35,26,VIT_B,15,mg
36,27,VIT_B,10,mg
37,27,VIT_C,100,mg
38,27,VIT_D,10,µg
39,27,ZINC,8,mg
40,27,MAGNESIUM,100,mg
41,28,VIT_B,10,mg
42,28,VIT_C,100,mg
43,28,IRON,8,mg
44,28,CALCIUM,150,mg
45,28,FOLATE,200,µg
46,29,VIT_D,15,µg
47,29,CALCIUM,200,mg
48,29,LUTEIN,10,mg
49,29,VIT_B,8,mg
50,30,VIT_B,10,mg
51,30,VIT_C,80,mg
52,30,VIT_D,10,µg
53,30,ZINC,8,mg
54,30,MAGNESIUM,80,mg
55,30,IRON,6,mg
56,31,CALCIUM,300,mg
57,31,MAGNESIUM,200,mg
58,31,ZINC,10,mg
59,32,PROBIOTICS,100,억CFU
60,33,PROBIOTICS,50,억CFU
61,34,PROBIOTICS,80,억CFU
62,35,PROBIOTICS,150,억CFU
63,36,PROBIOTICS,120,억CFU
64,37,PROBIOTICS,30,억CFU
65,38,LUTEIN,20,mg
66,39,LUTEIN,16,mg
67,40,LUTEIN,10,mg
68,40,OMEGA3,500,mg
69,41,LUTEIN,20,mg
70,42,FOLATE,400,µg
71,43,FOLATE,400,µg
72,44,PROTEIN,24,g
73,45,PROTEIN,27,g
74,46,PROTEIN,21,g
75,47,PROTEIN,15,g
76,48,IRON,24,mg
77,48,FOLATE,400,µg
78,49,FOLATE,600,µg
79,49,IRON,24,mg
80,49,CALCIUM,300,mg
81,50,LUTEIN,20,mg
82,51,COLLAGEN,1000,mg
83,52,COLLAGEN,1500,mg
84,53,BIOTIN,5000,µg
85,54,BIOTIN,5000,µg
86,55,BIOTIN,3000,µg
87,55,PANTOTHENIC,5,mg
88,56,MSM,1500,mg
89,57,GLUCOSAMINE,1500,mg
90,58,MSM,1000,mg
91,58,GLUCOSAMINE,1000,mg
92,58,CALCIUM,100,mg
93,59,MILK_THISTLE,150,mg
94,60,MILK_THISTLE,300,mg
95,61,COQ10,100,mg
96,62,COQ10,90,mg
97,63,COLLAGEN,1000,mg
98,63,VIT_C,80,mg
99,64,COLLAGEN,1000,mg
100,64,BIOTIN,2000,µg
101,64,VIT_C,100,mg
